open_time,open,high,low,close,volume,super_trend,volume_sma,trend_direction,ema_9,ema_21,ema_50,rsi,cci,macd,macd_signal,stoch_rsi,momentum,rsi_14,rsi_28,macd_line,macd_histogram,macd_crossover,volatility_band_width,bollinger_upper,bollinger_middle,bollinger_lower,bollinger_width,bollinger_pct_b,atr_14,atr_14_percent,atr_20,atr_20_percent,atr,atr_percent,volume,quote_asset_volume,taker_buy_base_volume,taker_buy_quote_volume,volume_sma,market_regime,regime_duration,regime_strength,adx,di_pos,di_neg
1747602300000,1.2813,1.2932,1.2809,1.2885,922380.5,,,,1.2666092945367058,1.2653783134813799,,,,,,,,62.3652758622339,54.65741743172281,-0.0023395326637591918,,0,,1.2870179453656432,1.2597809523809524,1.2325439593962617,4.324083950184124,1.0272066493388208,0.012856206369200497,0.9977653371517655,0.012651044235904666,0.9818427812110722,0.012856206369200497,0.9977653371517655,922380.5,1187008.75807,481832.6,620054.51327,,,0,0,0.0,22.699052506993226,21.380000736049347
1747602600000,1.2884,1.2901,1.2818,1.2875,715622.4,,,,1.2707874356293647,1.2673893758921635,,,,,-0.00631496995607075,,,61.64013844774491,54.2218941549484,-0.00035239644491924516,0.0059625735111515045,0,,1.2859802941953637,1.2595904761904761,1.2332006581855885,4.190221902074292,1.0287934119961508,0.012530763057114746,0.9732631500671647,0.01243349202410943,0.9657081183774315,0.012530763057114746,0.9732631500671647,715622.4,920183.31714,285075.9,366565.30163,,,0,0,0.0,21.858075079785273,20.587892871319415
1747602900000,1.2876,1.2919,1.2827,1.2874,575142.3,,,,1.274109948503492,1.2692085235383304,,,,,-0.00481187289146969,,,61.56305124513459,54.17712566034851,0.0012005153669345514,0.006012388258404241,0,,1.2892096406464721,1.2604857142857142,1.2317617879249563,4.557596493988838,0.9684994205920201,0.012292851410177984,0.9548587393333838,0.012271817422903963,0.9532249046841668,0.012292851410177984,0.9548587393333838,575142.3,740186.74361,245674.8,316290.43131,,,0,0,0.0,21.762531381239462,19.729992514017248
1747603200000,1.2876,1.299,1.2864,1.2975,649135.6,,,,1.2787879588027935,1.2717804759439366,,,,,-0.0032076580963175936,,,66.16545838507237,57.82444858516673,0.0032092010842907914,0.006416859180608385,0,,1.2944569200873743,1.2618333333333334,1.2292097465792924,5.170823418947189,1.046639260354302,0.012314790595165267,0.9491168088759357,0.012288226551758761,0.9470694837579006,0.012314790595165267,0.9491168088759357,649135.6,839468.66992,432388.1,559382.23797,,,0,0,42.987945441152924,23.733407257516927,18.605705015406098
1747603500000,1.2976,1.3033,1.2951,1.3018,522358.5,,,,1.2833903670422349,1.274509523585397,,,,,-0.0015482453667851938,,,67.92628717959133,59.256286463715846,0.005089405551344406,0.006637650918129599,0,,1.3004035712552855,1.2636,1.2267964287447146,5.825193297765976,1.0189713755633705,0.01202087698122489,0.9234042849304723,0.012083815224170822,0.9282389940214181,0.01202087698122489,0.9234042849304723,522358.5,678267.69805,296698.5,385349.90924,,,0,0,41.49900926223264,24.81797702614534,17.902735102220657
1747603800000,1.3016,1.315,1.2999,1.3039,950749.1,,,,1.287492293633788,1.2771813850776335,,,,,9.580823919647853e-05,,,68.78079146609582,59.944994233870034,0.006672022663123167,0.006576214423926688,0,,1.3061284351824751,1.2655190476190477,1.2249096600556202,6.417823206980586,0.9725625610704608,0.012240814339708818,0.9387847488081,0.012234624462962276,0.938310028603595,0.012240814339708818,0.9387847488081,950749.1,1243240.5067,540459.8,707009.68585,,,0,0,40.64160099275014,28.431520817632013,16.674371976354735
1747604100000,1.3038,1.3142,1.2956,1.3109,506652.0,,,,1.2921738349070304,1.2802467137069395,,,,,0.0017555135827206643,,,71.50589758504977,62.156262372681326,0.008394334956817406,0.006638821374096742,0,,1.3127824893733235,1.2682857142857142,1.223788939198105,7.016837702484008,0.9788469010437592,0.01269504188687247,0.9684218389558679,0.01255289323981416,0.9575782469916974,0.01269504188687247,0.9684218389558679,506652.0,660916.26025,231235.4,301745.77549,,,0,0,39.52468570928501,26.09621141472444,17.203661918007224
1747604400000,1.3109,1.3138,1.3051,1.3132,310905.0,,,,1.2963790679256244,1.2832424670063087,,,,,0.0033707186216076278,,,72.35962635907434,62.85499195381774,0.00983153877715548,0.0064608201555478514,0,,1.3190215990948055,1.2710333333333335,1.2230450675718614,7.551063296762017,0.9393435144776626,0.012409681752095876,0.944995564430085,0.01236024857782346,0.9412312349850336,0.012409681752095876,0.944995564430085,310905.0,407367.22424,151287.9,198196.25645,,,0,0,38.46982127490127,25.076130210498622,16.531183760640946
1747604700000,1.3128,1.3176,1.3086,1.3153,270808.1,,,,1.3001632543404995,1.2861567881875533,,,,,0.00489918173846327,,,73.15062415714094,63.49321779977915,0.011013034205885841,0.006113852467422571,0,,1.3245060895566607,1.2743,1.2240939104433393,7.879791188363922,0.9083170025991454,0.012166133055517609,0.9249702011341602,0.012192236148932292,0.9269547744949664,0.012166133055517609,0.9249702011341602,270808.1,355580.26455,155237.8,203865.82568,,,0,0,37.657381894498855,25.780112394995854,15.85244840519178
1747605000000,1.3153,1.3155,1.3014,1.309,424538.1,,,,1.3019306034723996,1.2882334438068666,,,,,0.006181473090111482,,,66.95976108477728,60.27140172016947,0.011310638496704328,0.005129165406592846,0,,1.3283043953313007,1.276961904761905,1.2256194141925092,8.041350392354705,0.8120037115728882,0.012304266408694923,0.9399745155611094,0.012287624341485679,0.9387031582494789,0.012304266408694923,0.9399745155611094,424538.1,555273.78711,162980.8,213127.54445,,,0,0,36.35963037532795,24.13624631244048,18.097698336107428
1747605300000,1.3094,1.3107,1.3027,1.3055,272881.4,,,,1.3026444827779198,1.289803130733515,,,,,0.007172319633531656,,,63.73269666174723,58.55944752684962,0.011135705807212348,0.003963386173680692,0,,1.3304894600565955,1.2798333333333334,1.2291772066100712,7.916050536256618,0.7533421752405732,0.011996818808073859,0.91894437442159,0.012073243124411395,0.9247984009507003,0.011996818808073859,0.91894437442159,272881.4,356657.58241,101624.2,132848.62904,,,0,0,35.13397616277766,23.245774637354415,17.43001009892493
1747605600000,1.3056,1.3093,1.2876,1.2944,1181382.4,,,,1.300995586222336,1.290221027939559,,,,,0.007735111219926385,,,54.72490426586036,53.556328379146116,0.009986277565505297,0.0022511663455789125,0,,1.3310531621167154,1.281995238095238,1.2329373140737605,7.653370708984335,0.6264297476115301,0.012689903178925713,0.9803695286561892,0.012554580968190818,0.9699150933398345,0.012689903178925713,0.9803695286561892,1181382.4,1529853.43766,539311.1,699040.94223,,,0,0,33.36217288874033,21.018631419621848,22.426926670839777
1747605900000,1.2947,1.3003,1.2905,1.2939,425622.9,,,,1.2995764689778688,1.2905554799450536,,,,,0.007974496696032772,,,54.352250671059046,53.343433051631244,0.008932038600458325,0.0009575419044255528,0,,1.330468280860071,1.2844190476190476,1.2383698143780242,7.170437611679108,0.6029436508891345,0.012483481523288166,0.9647949241276889,0.012416851919781279,0.9596454068924398,0.012483481523288166,0.9647949241276889,425622.9,550839.36002,215688.8,279245.10009,,,0,0,31.6888031299273,20.097876148948863,21.444478740481436
1747606200000,1.2935,1.2947,1.2829,1.2866,509276.1,,,,1.296981175182295,1.2901958908591395,,,,,0.007863985777892414,,,49.09569513490259,50.31511867378575,0.007421942105330981,-0.00044204367256143323,-1,,1.3292186162294128,1.2863,1.2433813837705872,6.6731891828364835,0.5034949868653311,0.01243466141448187,0.9664745386663975,0.012386009323792215,0.9626930921647922,0.01243466141448187,0.9664745386663975,509276.1,656235.83569,202400.9,260928.68503,,,0,0,30.536760659828033,19.034792493362243,23.716983535342777
1747606500000,1.2865,1.2891,1.2761,1.285,708259.0,,,,1.294584940145836,1.2897235371446722,,,,,0.007496509063561635,,,47.99995798112157,49.674142677246806,0.006026602206238518,-0.001469906857323117,0,,1.3267007200631344,1.2882809523809524,1.2498611846987704,5.964501394074958,0.4573012464821058,0.012475042742018872,0.9708204468497177,0.0124167088576026,0.9662808449496187,0.012475042742018872,0.9708204468497177,708259.0,907175.36892,333750.5,427637.38779,,,0,0,29.795982344097027,17.92855711533898,25.378575251552032
1747606800000,1.285,1.298,1.2847,1.2972,792007.0,,,,1.2951079521166688,1.2904032155860656,,,,,0.0071647927171253085,,,56.05388975862567,54.27974103610563,0.0058379273313799995,-0.001326865385745309,0,,1.325699924332701,1.2903380952380954,1.2549762661434898,5.481017606952167,0.5970241774477566,0.012533968260446102,0.9662325208484507,0.012460873414722474,0.9605977038793151,0.012533968260446102,0.9662325208484507,792007.0,1021467.15427,430283.6,554912.01669,,,0,0,28.51911464402901,20.829990228750166,23.875490166256686
1747607100000,1.2972,1.3048,1.2967,1.3035,552756.7,,,,1.2967863616933353,1.2915938323509688,,,,,0.006957062204129174,,,59.538924240534556,56.41573298882007,0.006126140152144632,-0.0008309220519845412,0,,1.3252819611264701,1.2924619047619048,1.2596418483973395,5.0786883920747155,0.6681608208633782,0.012217256241842809,0.9372655344720222,0.01224282974398635,0.9392274448781243,0.012217256241842809,0.9372655344720222,552756.7,719478.74677,312320.1,406605.77339,,,0,0,26.953358825043406,23.15201518874911,22.997180068833618
1747607400000,1.3033,1.3271,1.3025,1.3241,1033788.4,,,,1.3022490893546683,1.2945489385008806,1.288243860415736,,,,0.007150737602907056,,,68.3713285801556,62.37613172412567,0.00792543919801858,0.0007747015951115243,1,,1.3281717158312483,1.2953333333333334,1.2624949508354186,5.07025977837079,0.9380037090513401,0.013101737938854035,0.9894825118083252,0.012860688256787028,0.9712777174523848,0.013101737938854035,0.9894825118083252,1033788.4,1361570.10993,586351.0,772427.78652,,,0,0,26.518594680719644,30.292143028237522,20.564487934407182
1747607700000,1.3241,1.3247,1.3086,1.3143,485879.4,,,,1.3046592714837348,1.296344489546255,1.2892656698111973,,,,0.007413202412426918,,,61.49402812921954,58.43371789626063,0.008463061650506365,0.001049859238079447,0,,1.3264587397336636,1.2981714285714285,1.2698841174091935,4.358023992773248,0.7850849155663818,0.013315899514650176,1.013155254861917,0.013022653843947676,0.9908433267859451,0.013315899514650176,1.013155254861917,485879.4,639640.03856,179803.5,236548.86306,,weak_uptrend,1,26,26.107984099969425,28.22326817785492,19.15998671246221
1747608000000,1.3139,1.3248,1.3139,1.3214,418505.5,,,,1.308007417186988,1.2986222632238682,1.290525839622523,,,,0.007801404418351719,,,64.29608398058991,60.31807431242737,0.009354212442050924,0.001552808023699205,0,,1.3256520804509417,1.301052380952381,1.2764526814538204,3.7815079329171186,0.9135745448599765,0.013143335263603728,0.9946522827004487,0.012916521151750288,0.9774876004048954,0.013143335263603728,0.9946522827004487,418505.5,552808.7956,217169.5,286863.02053,,weak_uptrend,2,25,25.724440157325077,26.948809969692178,18.265723615995817
1747608300000,1.3214,1.3233,1.3121,1.3135,460689.8,,,,1.3091059337495905,1.299974784748971,1.2914267870883065,,,,0.00810424500765367,,,59.13930693640418,57.31968071172912,0.009315607364861478,0.0012113623572078073,0,,1.32604522733974,1.302590476190476,1.279135725041212,3.601247142211445,0.7325653284508661,0.013004525601917739,0.990066661737171,0.012830695094162767,0.9768325157337471,0.013004525601917739,0.990066661737171,460689.8,606760.98142,191385.2,252130.49213,,weak_uptrend,3,25,25.244792387119773,25.646502985942455,18.159683840430198
1747608600000,1.3133,1.3361,1.3118,1.3268,977910.1,,,,1.3126447469996725,1.3024134406808827,1.2928139719083729,,,,0.00853142982913138,,,64.3266707440648,60.72801977150843,0.01024016911504222,0.0017087392859108392,0,,1.3291254388325713,1.3044142857142857,1.2797031325960002,3.7888504271867776,0.9529475856217623,0.013811345201780758,1.0409515527419926,0.01340416033945463,1.0102623107819286,0.013811345201780758,1.0409515527419926,977910.1,1295124.55733,700949.9,928640.77115,,weak_uptrend,4,25,25.334249421807375,28.34726016014748,16.34511445938322
1747608900000,1.3269,1.3438,1.3264,1.339,840589.3,,,,1.317915797599738,1.3057394915280751,1.2946251886962798,,,,0.00918935649248993,,,68.30193987953464,63.50071387705042,0.011821063145924127,0.0026317066534341967,0,,1.3344335435012424,1.3068666666666666,1.2792997898320908,4.21877419291575,1.08282506078146,0.014067677687367853,1.0506107309460682,0.013603952322481901,1.0159785154952876,0.014067677687367853,1.0506107309460682,840589.3,1123347.61223,487398.2,651480.97102,,weak_uptrend,5,25,25.702292055781946,29.467387649270865,15.194035808415359
1747609200000,1.339,1.339,1.3171,1.3249,795598.3,,,,1.3193126380797904,1.3074813559346137,1.2958124361983865,,,,0.009711516402042228,,,59.98254483487887,58.54651163447899,0.01180015604025142,0.002088639638209192,0,,1.3357990105983195,1.308652380952381,1.2815057513064423,4.148791541751136,0.7992566528429038,0.014627129281127294,1.104017607451679,0.014018754706357809,1.0580990796556577,0.014627129281127294,1.104017607451679,795598.3,1055128.08238,320628.6,424919.39345,,weak_uptrend,6,25,25.449286671440856,26.939142137116306,17.53389703034209
1747609500000,1.3247,1.3258,1.3142,1.3155,279423.6,,,,1.3185501104638324,1.3082103235769216,1.29658449752394,,,,0.009949101834971257,,,55.15897755663983,55.550221089776386,0.010899443566687372,0.0009503417317161152,0,,1.336328202784262,1.3095095238095236,1.2826908448347851,4.095988381469669,0.611684773812293,0.014410905761046778,1.0954698412046202,0.013897816971039919,1.056466512431769,0.014410905761046778,1.0954698412046202,279423.6,368344.91529,113080.8,149089.14638,,weak_uptrend,7,25,25.033076890776556,25.702373952268097,17.87666364743307
