config_id,time,exit_time,direction,entry_price,exit_price,outcome,entry_bar,exit_bar,bars_held,highest_price_reached,lowest_price_reached,sl,tp,rr_ratio,risk_distance_pct,reward_distance_pct,position_size,position_value,leverage_used,risk_amount,gross_pnl,net_pnl,price_change_pct,total_commission,slippage_cost,gain_pct,gain_usd,commission,signal_strength,signal_passed_filter,atr,volatility_regime
default,2025-05-23 08:05:00,2025-05-23 09:15:00,SHORT,1.3654,1.383864615876022,SL,1316,1330,14,1.3888,1.356,1.383864615876022,1.3515515380929835,0.75,1.3523228267190563,1.0142421200392924,1165.0212676994638,116.50212676994639,10.0,11.65021267699464,-1.5544634893240117,-1.8441643427595535,-1.3342790663328996,0.23144979005056876,0.05825106338497319,-1.3342790663328996,-1.8441643427595535,0.23144979005056876,55,True,0.009232307938010994,low
default,2025-05-23 08:15:00,2025-05-23 09:15:00,SHORT,1.3664,1.384789388178815,SL,1318,1330,12,1.3888,1.3621,1.384789388178815,1.352607958865889,0.749999999999994,1.3458275891989797,1.0093706918992265,1165.0212676994638,116.50212676994639,10.0,11.65021267699464,-1.547096512378385,-1.8368047327908725,-1.3279555964101797,0.23145715702751438,0.05825106338497319,-1.3279555964101797,-1.8368047327908725,0.23145715702751438,51,True,0.009194694089407426,low
default,2025-05-23 08:20:00,2025-05-23 09:15:00,SHORT,1.369,1.387461574737471,SL,1319,1330,11,1.3888,1.3664,1.387461574737471,1.3551538189468968,0.749999999999997,1.3485445388948876,1.0114084041711615,1165.0212676994638,116.50212676994639,10.0,11.65021267699464,-1.550178224463377,-1.8398833631637794,-1.3306007945455556,0.2314540753154294,0.05825106338497319,-1.3306007945455556,-1.8398833631637794,0.2314540753154294,55,True,0.009230787368735453,low
default,2025-05-23 08:30:00,2025-05-23 09:15:00,SHORT,1.3687,1.3864224802583296,SL,1321,1330,9,1.3888,1.3664,1.3864224802583296,1.355408139806253,0.7499999999999938,1.2948403783392683,0.9711302837544431,1146.1099086324862,114.61099086324862,10.0,11.461099086324863,-1.46505920950088,-1.7501216274495008,-1.2782885816325917,0.22775692251699636,0.05730549543162431,-1.2782885816325917,-1.7501216274495008,0.22775692251699636,54,True,0.008861240129164746,low
default,2025-05-23 05:30:00,2025-05-23 09:20:00,SHORT,1.3623,1.3895109865969701,SL,1285,1331,46,1.3897,1.3439,1.3895109865969701,1.3418917600522726,0.7499999999999959,1.9974298316795183,1.4980723737596304,1070.2402872937146,107.02402872937145,10.0,10.702402872937146,-2.095866415882728,-2.361330621290274,-1.9583138859241456,0.21195219104286017,0.05351201436468573,-1.9583138859241456,-2.361330621290274,0.21195219104286017,52,True,0.013605493298484985,low
default,2025-05-23 07:10:00,2025-05-23 09:20:00,SHORT,1.3675,1.3889894488491916,SL,1305,1331,26,1.3897,1.3519,1.3889894488491916,1.3513829133631061,0.7500000000000026,1.571440500854968,1.1785803756412299,1156.2772769644337,115.62772769644337,10.0,11.562772769644338,-1.7889092980077574,-2.076189707950858,-1.5471283001462832,0.229466546094879,0.05781386384822169,-1.5471283001462832,-2.076189707950858,0.229466546094879,53,True,0.01074472442459585,low
default,2025-05-23 08:25:00,2025-05-23 09:50:00,SHORT,1.3724,1.3904857479705088,SL,1320,1337,17,1.3946,1.3664,1.3904857479705088,1.3588356890221185,0.75,1.3178190010571822,0.9883642507928867,1146.1099086324862,114.61099086324862,10.0,11.461099086324863,-1.4907204179750837,-1.77575717471523,-1.3006784137777672,0.22773126130852217,0.05730549543162431,-1.3006784137777672,-1.77575717471523,0.22773126130852217,50,True,0.009042873985254345,low
default,2025-05-23 11:40:00,2025-05-23 11:45:00,SHORT,1.362,1.3450583125251516,TP,1359,1360,1,1.3646,1.3242,1.3845889166331316,1.3450583125251516,0.7499999999999951,1.6585107660155247,1.2438830745116356,934.5386596476876,93.45386596476877,10.0,9.345386596476876,1.1770985508569725,0.9422867873941936,1.2595504088624088,0.18808483048039448,0.04672693298238438,1.2595504088624088,0.9422867873941936,0.18808483048039448,57,True,0.01129445831656572,high
default,2025-05-23 11:45:00,2025-05-23 11:50:00,SHORT,1.3327,1.3126398616304977,TP,1360,1361,1,1.3328,1.2918,1.3594468511593363,1.3126398616304977,0.7500000000000021,2.006967146344735,1.5052253597585554,939.2500935846585,93.92500935846586,10.0,9.392500935846586,1.4353888977188578,1.1991409854249742,1.5282286448763394,0.18928540761465057,0.04696250467923293,1.5282286448763394,1.1991409854249742,0.18928540761465057,53,True,0.013373425579668169,high
default,2025-05-23 11:50:00,2025-05-23 11:55:00,SHORT,1.3111,1.2880798715140336,TP,1361,1362,1,1.316,1.2876,1.341793504647955,1.2880798715140336,0.7500000000000018,2.3410498549275465,1.755787391195664,945.2457985117835,94.52457985117834,10.0,9.452457985117835,1.6893113706516016,1.4513106096530042,1.7871662305310343,0.1907384710730083,0.047262289925589174,1.7871662305310343,1.4513106096530042,0.1907384710730083,48,True,0.01534675232397758,high
