open_time,open,high,low,close,volume,adx,di_pos,di_neg
1747786200000,1.2778,1.2885,1.277,1.288,351010.8,15.013396454980755,26.56404063666407,15.00279149634661
1747786500000,1.2883,1.293,1.2788,1.2788,621967.3,16.36656225994605,27.121535664573702,13.371145347435476
1747786800000,1.2789,1.2839,1.2727,1.2803,285964.3,16.56557533737081,24.827978210122165,16.846224324557003
1747787100000,1.2802,1.2814,1.275,1.2776,191042.5,16.750373194979513,23.59982979269967,16.01290380330272
1747787400000,1.2774,1.2872,1.2769,1.2792,459334.0,17.549308266537622,26.182803296668578,14.748463824688224
1747787700000,1.2791,1.2798,1.2712,1.2724,338886.8,17.348866383961468,24.447003367332297,18.164706964912476
1747788000000,1.2725,1.2776,1.2685,1.2726,356353.1,16.75316165378735,22.729855030293663,18.972857583552454
1747788300000,1.2725,1.2821,1.2703,1.2757,269848.0,16.73498865286747,24.105966445409585,17.278114652313576
1747788600000,1.2758,1.2776,1.2665,1.2709,359778.2,16.138595461504824,22.10564441084581,18.685139742853877
1747788900000,1.271,1.2715,1.2653,1.2696,198681.0,15.405686184836952,21.054704429470796,18.71697837223909
1747789200000,1.2697,1.2704,1.2641,1.2672,276327.8,14.54127743406362,20.01351067307478,18.73332916015782
1747789500000,1.2676,1.2764,1.2645,1.2757,256739.8,14.538073971844778,22.792679380655244,17.021102738297703
1747789800000,1.2757,1.284,1.2728,1.2729,577102.5,15.367920448641337,26.613518871220197,15.577950052159913
1747790100000,1.2728,1.2742,1.2668,1.2706,173445.8,15.202314612637347,25.09931340099621,19.304822841915215
1747790400000,1.2706,1.2758,1.2646,1.267,317586.7,14.73032727700321,22.969215079107368,19.333510730132424
1747790700000,1.2668,1.2691,1.2616,1.2682,256280.3,13.867722460149542,21.64452641249983,20.52539578236743
1747791000000,1.2683,1.2718,1.2629,1.2718,248731.3,13.416843075353086,22.241210581216393,19.11646795737617
